CD5L	8.9815	9.1992	9.1239	10.016	9.1554	9.1752
FCN3	8.2094	7.7783	8.3951	8.0814	8.2548	8.4957
GC	8.6844	8.4019	8.9826	8.9412	9.5844	9.0847
HRG	7.8442	7.8737	8.1062	7.7423	8.2502	8.5807
CDH5	8.8699	7.4584	8.8949	8.6232	7.8025	8.9412
HPT	9.1229	8.5697	9.0196	8.7652	8.6395	8.9988
CO9	8.2113	8.3916	7.8734	7.9232	8.3963	8.4414
PLTP	7.5324	6.819	7.5836	7.444	7.4914	7.5366
TTHY	9.1532	8.3662	9.0375	8.9701	8.8682	8.8571
IGHA1	8.8238	8.5542	8.7573	8.474	8.9134	8.9392
A2M	8.5308	7.4704	8.2077	7.8851	7.9041	7.9911
C4BPB	8.2268	8.8933	8.4845	8.3378	8.5542	9.411
APOL1	8.4187	7.7459	8.4798	8.7094	8.0268	8.3635
TPM4	7.8674	7.31	8.6628	7.8237	9.0451	8.0841
GPX3	8.252	8.0259	8.1632	8.4122	8.4731	8.8522
QSOX1	7.9201	7.6417	8.4215	8.1436	7.9872	8.2167
GELS	9.1452	8.816	8.9121	9.215	8.9834	9.2673
KLKB1	7.577	7.3432	7.5369	7.52	7.1184	7.541
ITIH2	7.9954	7.2608	7.9912	7.9274	8.09	8.2169
FCN2	8.5596	8.2648	8.4968	8.4132	8.611	8.4761
HEP2	8.6842	9.2152	8.1955	8.4247	8.5642	9.0366
KNG1	8.7137	8.1556	8.7323	8.2821	8.5527	8.7523
APOC2	8.3792	8.5734	8.6411	8.5282	8.2743	8.3171
ACTB	8.0051	8.029	8.3804	8.2422	8.897	8.6615
FA10	9.4647	6.8206	9.1608	9.1475	9.0754	9.3401
SERPINA10	8.2857	7.9967	8.284	7.4696	8.1498	8.0465
PGRP2	8.22	8.6057	7.9242	8.2342	8.3473	8.9742
FBLN3	8.5055	7.3886	8.6972	8.4026	8.5385	8.8666
APCS	8.3705	7.1778	8.2361	8.5554	8.3298	8.6032
LYSC	9.0102	7.8343	8.9824	8.9825	8.8806	8.8769
PF4	8.1613	6.7189	8.3303	8.303	7.947	7.7432
SPRC	7.952	6.9839	8.6582	8.4785	7.8187	7.7041
LBP	7.8139	7.966	8.012	7.9038	7.4204	7.9379
IGKC	5.4317	5.4584	5.6192	6.0578	5.5088	5.7052
LCAT	8.479	7.5796	8.7113	8.9013	7.6756	8.8043
APOD	8.8985	9.0253	8.9458	8.5459	8.9737	8.7926
APOC3	9.3659	9.4262	9.4597	9.3655	9.288	9.1364
FBLN5	8.0739	3.1898	7.9027	7.7308	2.8556	7.9817
F7	7.4158	7.2506	7.3126	7.608	7.0892	7.5697
C1QB	9.395	3.1898	9.2312	9.1468	8.5877	9.4138
HPX	8.3935	7.0381	7.9524	8.129	8.3147	9.0817
CFHR1	7.9765	8.2459	8.0925	7.6131	7.0226	7.2456
VWF	7.4133	6.6479	7.1854	7.3671	7.2511	7.3764
LAC2	8.392	8.2611	8.5707	8.5484	8.6723	8.2683
APOC4	8.9572	9.0738	8.6217	8.5015	8.4319	8.8249
SAA1	8.1669	5.3321	8.1112	8.0509	7.4004	7.3893
MASP2	8.9911	6.6137	8.7152	8.6913	8.6003	8.5607
HABP2	8.5797	7.2088	8.6159	8.3754	7.4942	8.0444
APOC1	8.9564	9.014	8.932	8.9127	8.9421	8.7443
ANGI	8.6689	8.9492	9.4095	9.04	8.908	8.9508
CETP	8.203	8.0602	7.692	7.7335	8.01	8.3225
COMP	8.9251	8.3329	8.4638	8.6579	8.2291	8.4011
HBB	9.4497	8.747	8.9808	8.5318	8.5447	8.8504
SEPP1	8.3636	8.0425	8.4411	8.3858	8.1324	8.6385
TLN1	7.007	6.7374	7.2651	6.6987	7.742	6.9708
A1BG	8.2884	7.0798	8.3425	7.7597	6.7809	8.3185
CFP	8.4788	7.8612	8.6425	8.4823	8.011	8.0669
PROC	9.2803	7.7378	9.2542	9.3344	9.0997	9.1979
PRG4	6.6685	6.3954	6.9928	6.8495	6.6375	6.4653
IGFBP3	8.4107	8.651	8.0417	7.886	8.1536	8.7244
C1QC	8.3507	7.7397	8.4586	8.2475	8.4459	8.3761
HV303	8.1506	8.2857	8.1081	8.6746	8.2779	8.5191
FBN1	7.9067	5.916	7.9908	7.8233	7.3135	7.8429
IGHG1	9.0755	8.6039	8.8979	8.7066	8.9501	8.7219
HGFAC	8.0163	7.0751	8.1924	7.8744	7.7775	7.8138
CAMP	8.3007	7.7918	8.2573	8.1244	7.7873	7.4122
KV312	8.8642	8.2416	9.0302	9.493	8.9817	8.9788
CADH1	8.847	6.2591	8.577	8.7611	8.6298	8.88
SERPING1	6.0904	5.3336	6.7775	6.6371	5.0233	6.8009
FA11	8.4612	8.7441	8.605	8.6448	8.7023	8.9832
TGFBI	6.8031	6.4183	7.3385	7.9001	6.8971	7.7804
ANT3	8.6624	8.3699	8.4047	8.6071	8.2301	8.3803
SPRL1	8.0206	8.1432	7.93	8.0336	7.8803	7.9309
ATS13	7.2852	5.9696	7.5324	7.4752	7.2879	7.6444
ALS	6.7583	6.9006	6.5947	7.0055	6.8014	6.7549
A1AG1	7.6225	8.1576	7.4245	7.4553	7.2871	8.2733
CD14	8.0148	7.531	7.4746	7.8057	6.9901	8.0731
PCSK9	7.1304	6.8666	6.7992	6.7112	6.7939	6.691
APOM	9.8695	10.0965	9.9391	9.8566	10.1224	10.3838
IGJ	8.8463	9.2282	9.4389	9.996	9.4144	9.1601
RET4	8.2765	7.5751	8.0963	7.8291	7.9577	8.3036
SERPINF2	8.4904	8.4817	8.7883	8.9556	8.8171	8.9357
TETN	8.038	8.2694	7.965	7.9207	8.1684	8.5168
PDIA1	7.2891	7.48	7.144	7.573	7.4167	7.3583
ACTN1	6.9897	6.5742	6.7855	7.0172	7.3816	7.3962
ITIH3	7.8906	8.1364	7.9396	7.8557	8.1657	8.0443
IGHG2	9.4524	9.5928	9.182	9.1879	9.1972	9.5346
AMBP	9.6079	5.6366	9.3821	9.1606	9.0445	9.1493
PCOC1	9.1732	6.828	8.9434	8.8458	8.76	9.3093
ENOA	8.2859	7.3991	8.4408	8.2066	8.6169	8.1707
SAA4	8.8526	4.0491	8.8669	9.037	8.938	9.3571
DEFA1	7.8198	4.6246	7.4285	8.1347	5.0327	7.6932
1433Z	6.523	4.351	6.8744	6.5829	7.6066	6.5837
CALR	7.5374	7.7803	7.9984	7.7514	7.8983	7.6573
MBL2	8.6291	9.0905	8.7386	7.2001	8.3559	8.0918
LV302	8.6705	8.6476	8.6239	8.7338	8.7148	8.4051
LTBP1	7.6457	6.826	8.1861	8.4533	6.8446	7.6309
SERPINA4	8.1451	7.5026	7.8731	8.0308	8.2895	8.5796
HBA1	7.7452	7.5869	7.3974	7.029	7.2008	7.3588
OIT3	7.9252	6.4356	8.0176	7.664	7.5594	7.8669
IBP5	9.0375	3.1898	9.1474	9.4361	9.1821	9.3422
F9	9.7479	6.9891	9.5101	9.1837	9.0285	9.0789
SDF1	7.6892	7.7939	7.7014	7.6916	7.4512	7.7804
APOH	9.207	8.4797	9.2372	9.0437	7.3847	9.6261
CO8B	8.6808	8.0247	8.4946	8.5499	8.0366	8.4292
PON3	6.4184	6.66	6.4907	6.6103	6.7879	6.7194
COL11	8.2865	8.4325	8.3613	8.6069	8.2221	8.4865
MMP2	7.7225	6.8211	7.4534	7.7301	7.8768	7.7407
SHBG	7.0481	6.5443	7.1973	6.5712	6.7764	7.8027
CO5	9.1373	8.0609	9.0931	9.0154	8.7928	8.9272
C1QA	9.4863	9.2464	9.1762	9.1425	9.2233	9.1996
AGT	4.9439	3.1898	4.9906	5.1425	5.1957	2.8138
CRP	9.3723	8.7142	9.4338	8.4397	9.4803	8.3621
ITIH1	7.5597	7.4053	7.4774	7.3757	7.5316	7.6425
KV404	7.7518	8.9741	7.6018	8.6937	7.8597	8.1437
DSG2	6.6854	6.1779	6.6261	6.7786	6.8226	7.0002
LRP1	8.2816	8.2564	8.6721	8.3389	7.492	8.1497
TFRC	5.4844	6.713	5.6434	5.8545	6.1551	6.4253
PCYOX	7.2921	7.1691	7.164	7.5226	7.1416	7.2905
TERA	6.6493	6.0532	7.0032	6.4271	7.3569	6.7792
PPBP	9.3053	5.8896	10.2471	9.8529	5.9891	8.7005
HV305	8.8536	3.1898	9.0481	10.1085	9.0564	9.7768
TPM3L	6.817	6.6885	6.9273	6.5337	7.0052	6.7772
RNAS4	8.6663	8.1664	8.8258	8.5372	8.5157	8.6123
HV320	7.8433	7.2781	7.8079	7.8528	7.6973	7.7918
HIST1H1D	8.5875	7.8119	8.7289	9.6656	9.1132	8.0662
RARRES2	7.8723	7.7991	7.7407	7.5025	7.5897	7.6587
FHR4	7.7171	3.9176	7.7868	7.4649	8.0374	7.6715
KRT1	8.3976	7.7644	9.7124	8.1067	8.5108	7.4624
LAC1	8.5623	8.7571	8.7952	9.268	8.8573	8.9613
SPP24	8.084	8.0867	8.253	8.5036	8.3034	8.3734
INHBC	8.3675	8.3967	8.5108	7.8991	7.9897	8.196
KV109	6.5589	6.5279	6.6047	8.392	6.5188	8.2242
HPR	9.1841	9.4753	9.0784	9.2411	9.534	9.653
ORM2	7.5055	8.448	7.4611	7.8758	8.1077	8.6784
CRAC1	7.2331	8.7687	8.5036	8.5564	8.493	8.5673
CADH6	8.3804	8.2002	8.2382	8.0217	8.4412	8.5168
CFHR2	7.9041	7.9342	8.1662	7.5608	7.0313	7.8489
IGF2	8.1761	4.996	8.4301	7.9532	4.1803	8.2168
MSTP9	7.5661	7.8046	7.4975	7.4998	7.5289	7.3199
CHGA	6.9435	7.1582	6.889	6.7022	6.8164	6.7213
LV106	8.2842	8.4921	8.3182	8.5489	8.2998	8.5197
CO6A3	6.5389	6.9553	6.4528	6.6869	6.3631	7.0361
KV309	7.9679	5.9976	8.3439	8.7257	7.5384	8.3621
ADIPOQ	8.2049	9.614	8.297	8.3894	8.64	8.8078
SPTBN4	7.0454	4.5577	7.0663	6.8879	4.6535	6.5363
AACT	6.6798	6.7486	6.4765	6.4376	6.5822	7.0219
S100A8	7.4169	6.8073	7.1976	7.9638	7.2807	7.6396
BPIFB1	4.3448	4.7201	5.0584	4.8175	5.4926	4.9523
HSPG2	6.8968	6.238	7.5689	7.8455	5.1236	8.0081
MMRN2	7.3247	7.3351	7.2962	7.2673	7.2401	6.9395
F10A5	6.425	5.7563	6.7817	6.3408	6.9506	6.2367
HV102	10.4008	10.4379	10.0903	10.7145	10.3268	10.0761
LECT2	8.8437	8.7603	8.7719	8.5122	8.5633	8.7866
SVEP1	5.7482	5.702	5.9389	5.8006	5.6253	5.7561
APMAP	8.4985	8.5713	8.5867	8.4738	8.3514	8.0949
QPCT	7.9859	5.169	7.9429	7.8059	7.8818	7.8456
CAD13	8.1163	7.8727	8.1433	8.1207	8.0353	7.6817
FRMPD1	9.779	10.4125	9.7739	10.1682	10.2238	9.9667
RAC1	8.4248	7.8156	8.6281	8.4236	9.0761	8.2249
WISP2	8.1557	8.7363	8.2318	8.0875	8.1047	8.0399
NUCB1	4.5679	4.4508	4.8792	4.4168	4.5495	4.3624
EIF5A	6.804	6.4637	7.8023	7.4432	7.38	7.1265
MGP	8.9624	3.1898	9.1939	8.667	8.7155	9.0523
HTRA1	6.9495	6.9244	6.9363	6.5368	6.5189	6.8304
ECM1	7.1719	7.2516	7.4243	7.0404	6.9351	7.168
HYAL1	6.1445	5.6939	5.8869	6.1029	5.7033	5.9215
PCDH18	7.5283	7.8933	7.987	7.6108	7.787	7.6956
PSAP	7.0608	7.9428	6.9427	6.7785	7.3975	7.4865
RAN	5.9129	5.252	5.976	6.2387	6.1795	5.9056
SFTPB	6.5921	5.7435	6.6154	5.6982	5.779	5.7761
ADH4	8.2904	7.1682	8.0401	7.7059	7.1801	7.4784
OAF	8.8888	8.6475	8.8004	8.5095	8.4332	8.3942
APOF	7.6552	7.9409	7.6873	7.6186	7.6186	8.2191
DPT	6.2585	6.5232	6.2452	2.7996	6.6107	6.7124
HV207	6.669	6.6234	6.7683	6.5261	7.239	7.1442
RAP1A	4.6371	4.5815	5.0544	4.6865	5.4245	4.8809
H2AFX	5.1176	4.6934	5.0769	5.9593	5.8489	4.894
IBP1	7.746	6.8721	7.8743	7.6724	7.957	7.3817
LV001	9.6222	10.2153	9.8675	10.8235	10.0378	9.9007
SOD3	7.5906	7.623	7.7183	7.3445	7.338	7.2083
PRAP1	8.236	8.5331	8.429	7.7654	8.0891	7.8642
C1QTNF3	9.208	3.1898	9.0786	8.7992	8.6686	9.0656
CALU	4.8346	5.9583	2.7725	8.8692	2.8556	7.9621
HIST1H2BD	7.8299	6.9687	7.7973	8.6372	8.1311	7.2543
AFAM	8.8627	8.1171	8.8097	8.8165	8.1242	8.9159
HV201	8.7483	3.1898	8.8069	10.1203	9.1247	9.5217
C7	8.1543	8.0418	7.7628	7.7474	7.749	7.9521
K1C10	7.3592	7.2336	8.5806	7.3318	7.4175	6.8957
STAB2	5.9254	5.6967	5.9898	5.6888	5.8577	6.1195
GANAB	7.4065	3.1898	7.36	7.108	7.4427	7.2413
LV301	8.8346	4.8254	8.5401	8.6723	8.4313	8.5009
KV206	7.517	3.1898	7.4199	8.5877	2.8556	8.1226
